dataset,video_id,procedure_type,split,n_questions,seed,ood_procedure,ood_dataset,val_frac
lapchole,0017 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0018 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0019 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0020 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0023 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0024 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0026 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0027 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0028 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0029 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0030 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0032 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0033 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0034 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0036 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0037 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0039 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0040 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0041 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0042 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0043 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0044 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0045 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0048 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0049 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,38,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0050 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,78,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0052 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0053 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0054 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0055 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0056 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0057 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0058 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0059 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0060 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0061 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0062 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0063 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0065 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0066 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0068 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0070 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0071 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0072 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0073 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0074 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0076 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0078 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0079 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0081 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0082 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,79,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0083 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0086 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0089 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0092 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0093 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0094 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0096 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0097 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0099 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0100 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0101 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0102 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0105 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0106 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0107 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0108 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0114 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0115 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0128 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0129 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0133 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0137 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0138 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0144 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0146 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0147 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0149 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0158 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0160 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0167 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0169 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0180 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0182 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0183 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0184 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
