"img","frame_key","distribution","video_id","gold","detector_n_clip","human","delta"
"046.jpg","heico__0023_Heico_Sigma_4_avi__110150.jpg","OOD","0023 - Heico - Sigma - 4.avi","8","0","3","-5"
"047.jpg","heico__0028_Heico_Sigma_9_avi__244550.jpg","OOD","0028 - Heico - Sigma - 9.avi","4","0","NA",""
"048.jpg","lapchole__0016_Laparoscopic_Cholecystectomy_mp4__35490.jpg","ID","0016 - Laparoscopic Cholecystectomy.mp4","2","0","2","0"
"049.jpg","lapchole__0017_Laparoscopic_Cholecystectomy_mp4__30420.jpg","ID","0017 - Laparoscopic Cholecystectomy.mp4","3","0","2","-1"
"050.jpg","lapchole__0019_Laparoscopic_Cholecystectomy_mp4__41130.jpg","ID","0019 - Laparoscopic Cholecystectomy.mp4","6","0","3","-3"
"051.jpg","heico__0023_Heico_Sigma_4_avi__109700.jpg","OOD","0023 - Heico - Sigma - 4.avi","10","0","3","-7"
"052.jpg","lapchole__0028_Laparoscopic_Cholecystectomy_mp4__23190.jpg","ID","0028 - Laparoscopic Cholecystectomy.mp4","6","0","2","-4"
"053.jpg","heico__0023_Heico_Sigma_4_avi__107525.jpg","OOD","0023 - Heico - Sigma - 4.avi","9","0","3","-6"
"054.jpg","heico__0028_Heico_Sigma_9_avi__244625.jpg","OOD","0028 - Heico - Sigma - 9.avi","3","1","NA",""
"055.jpg","heico__0027_Heico_Sigma_8_avi__163475.jpg","OOD","0027 - Heico - Sigma - 8.avi","4","0","3","-1"
"056.jpg","heico__0021_Heico_Sigma_2_avi__37225.jpg","OOD","0021 - Heico - Sigma - 2.avi","1","1","0","-1"
"057.jpg","heico__0023_Heico_Sigma_4_avi__110300.jpg","OOD","0023 - Heico - Sigma - 4.avi","10","0","4","-6"
"058.jpg","heico__0023_Heico_Sigma_4_avi__109800.jpg","OOD","0023 - Heico - Sigma - 4.avi","9","0","3","-6"
"059.jpg","heico__0024_Heico_Sigma_5_avi__45975.jpg","OOD","0024 - Heico - Sigma - 5.avi","3","1","0","-3"
"060.jpg","heico__0023_Heico_Sigma_4_avi__108675.jpg","OOD","0023 - Heico - Sigma - 4.avi","8","2","5","-3"
"061.jpg","lapchole__0079_Laparoscopic_Cholecystectomy_mp4__11610.jpg","ID","0079 - Laparoscopic Cholecystectomy.mp4","3","1","0","-3"
"062.jpg","heico__0028_Heico_Sigma_9_avi__242525.jpg","OOD","0028 - Heico - Sigma - 9.avi","3","2","0","-3"
"063.jpg","heico__0027_Heico_Sigma_8_avi__164000.jpg","OOD","0027 - Heico - Sigma - 8.avi","5","0","2","-3"
"064.jpg","lapchole__0026_Laparoscopic_Cholecystectomy_mp4__16260.jpg","ID","0026 - Laparoscopic Cholecystectomy.mp4","2","2","2","0"
"065.jpg","lapchole__0016_Laparoscopic_Cholecystectomy_mp4__60780.jpg","ID","0016 - Laparoscopic Cholecystectomy.mp4","7","1","1","-6"
"066.jpg","lapchole__0074_Laparoscopic_Cholecystectomy_mp4__44370.jpg","ID","0074 - Laparoscopic Cholecystectomy.mp4","1","1","0","-1"
"067.jpg","heico__0023_Heico_Sigma_4_avi__109875.jpg","OOD","0023 - Heico - Sigma - 4.avi","9","0","2","-7"
"068.jpg","heico__0023_Heico_Sigma_4_avi__110250.jpg","OOD","0023 - Heico - Sigma - 4.avi","11","0","4","-7"
"069.jpg","heico__0025_Heico_Sigma_6_avi__115150.jpg","OOD","0025 - Heico - Sigma - 6.avi","1","0","0","-1"
"070.jpg","heico__0025_Heico_Sigma_6_avi__115125.jpg","OOD","0025 - Heico - Sigma - 6.avi","1","0","0","-1"
"071.jpg","lapchole__0016_Laparoscopic_Cholecystectomy_mp4__45120.jpg","ID","0016 - Laparoscopic Cholecystectomy.mp4","4","0","1","-3"
"072.jpg","lapchole__0027_Laparoscopic_Cholecystectomy_mp4__33300.jpg","ID","0027 - Laparoscopic Cholecystectomy.mp4","8","2","1","-7"
"073.jpg","heico__0026_Heico_Sigma_7_avi__159875.jpg","OOD","0026 - Heico - Sigma - 7.avi","3","0","2","-1"
"074.jpg","lapchole__0016_Laparoscopic_Cholecystectomy_mp4__61710.jpg","ID","0016 - Laparoscopic Cholecystectomy.mp4","6","0","1","-5"
"075.jpg","lapchole__0032_Laparoscopic_Cholecystectomy_mp4__63420.jpg","ID","0032 - Laparoscopic Cholecystectomy.mp4","6","3","0","-6"
"076.jpg","heico__0023_Heico_Sigma_4_avi__105400.jpg","OOD","0023 - Heico - Sigma - 4.avi","5","0","1","-4"
"077.jpg","heico__0023_Heico_Sigma_4_avi__110125.jpg","OOD","0023 - Heico - Sigma - 4.avi","8","0","3","-5"
"078.jpg","lapchole__0183_Laparoscopic_Cholecystectomy_mp4__31590.jpg","ID","0183 - Laparoscopic Cholecystectomy.mp4","3","0","2","-1"
"079.jpg","lapchole__0017_Laparoscopic_Cholecystectomy_mp4__31980.jpg","ID","0017 - Laparoscopic Cholecystectomy.mp4","5","1","1","-4"
"080.jpg","heico__0023_Heico_Sigma_4_avi__107850.jpg","OOD","0023 - Heico - Sigma - 4.avi","7","0","2","-5"
"081.jpg","lapchole__0000_Laparoscopic_Cholecystectomy_mp4__44100.jpg","ID","0000 - Laparoscopic Cholecystectomy.mp4","6","0","NA",""
"082.jpg","heico__0023_Heico_Sigma_4_avi__109825.jpg","OOD","0023 - Heico - Sigma - 4.avi","9","0","2","-7"
"083.jpg","lapchole__0004_Laparoscopic_Cholecystectomy_mp4__27270.jpg","ID","0004 - Laparoscopic Cholecystectomy.mp4","6","3","1","-5"
"084.jpg","lapchole__0045_Laparoscopic_Cholecystectomy_mp4__25860.jpg","ID","0045 - Laparoscopic Cholecystectomy.mp4","2","0","1","-1"
"085.jpg","heico__0026_Heico_Sigma_7_avi__170475.jpg","OOD","0026 - Heico - Sigma - 7.avi","1","1","0","-1"
"086.jpg","heico__0023_Heico_Sigma_4_avi__105775.jpg","OOD","0023 - Heico - Sigma - 4.avi","5","2","0","-5"
"087.jpg","heico__0023_Heico_Sigma_4_avi__107650.jpg","OOD","0023 - Heico - Sigma - 4.avi","7","2","3","-4"
"088.jpg","heico__0022_Heico_Sigma_3_avi__174275.jpg","OOD","0022 - Heico - Sigma - 3.avi","1","0","2","1"
"089.jpg","heico__0022_Heico_Sigma_3_avi__27200.jpg","OOD","0022 - Heico - Sigma - 3.avi","4","1","0","-4"
"090.jpg","heico__0025_Heico_Sigma_6_avi__114725.jpg","OOD","0025 - Heico - Sigma - 6.avi","1","0","2","1"
"091.jpg","lapchole__0048_Laparoscopic_Cholecystectomy_mp4__81900.jpg","ID","0048 - Laparoscopic Cholecystectomy.mp4","5","1","2","-3"
"092.jpg","heico__0023_Heico_Sigma_4_avi__109925.jpg","OOD","0023 - Heico - Sigma - 4.avi","12","0","3","-9"
"093.jpg","lapchole__0100_Laparoscopic_Cholecystectomy_mp4__19920.jpg","ID","0100 - Laparoscopic Cholecystectomy.mp4","4","3","3","-1"
"094.jpg","heico__0024_Heico_Sigma_5_avi__46775.jpg","OOD","0024 - Heico - Sigma - 5.avi","1","1","1","0"
"095.jpg","heico__0023_Heico_Sigma_4_avi__109650.jpg","OOD","0023 - Heico - Sigma - 4.avi","9","1","3","-6"
"096.jpg","lapchole__0017_Laparoscopic_Cholecystectomy_mp4__33780.jpg","ID","0017 - Laparoscopic Cholecystectomy.mp4","4","0","2","-2"
"097.jpg","lapchole__0017_Laparoscopic_Cholecystectomy_mp4__32940.jpg","ID","0017 - Laparoscopic Cholecystectomy.mp4","9","0","2","-7"
"098.jpg","lapchole__0078_Laparoscopic_Cholecystectomy_mp4__51420.jpg","ID","0078 - Laparoscopic Cholecystectomy.mp4","7","0","2","-5"
"099.jpg","heico__0023_Heico_Sigma_4_avi__107325.jpg","OOD","0023 - Heico - Sigma - 4.avi","10","0","2","-8"
"100.jpg","heico__0021_Heico_Sigma_2_avi__37550.jpg","OOD","0021 - Heico - Sigma - 2.avi","2","1","0","-2"
"101.jpg","heico__0029_Heico_Sigma_10_avi__70200.jpg","OOD","0029 - Heico - Sigma - 10.avi","5","0","0","-5"
"102.jpg","heico__0023_Heico_Sigma_4_avi__109725.jpg","OOD","0023 - Heico - Sigma - 4.avi","9","1","3","-6"
"103.jpg","lapchole__0019_Laparoscopic_Cholecystectomy_mp4__39870.jpg","ID","0019 - Laparoscopic Cholecystectomy.mp4","2","0","0","-2"
"104.jpg","heico__0023_Heico_Sigma_4_avi__110050.jpg","OOD","0023 - Heico - Sigma - 4.avi","8","0","3","-5"
"105.jpg","lapchole__0093_Laparoscopic_Cholecystectomy_mp4__13800.jpg","ID","0093 - Laparoscopic Cholecystectomy.mp4","6","0","1","-5"
"106.jpg","lapchole__0048_Laparoscopic_Cholecystectomy_mp4__80490.jpg","ID","0048 - Laparoscopic Cholecystectomy.mp4","3","1","0","-3"
"107.jpg","heico__0023_Heico_Sigma_4_avi__110200.jpg","OOD","0023 - Heico - Sigma - 4.avi","7","0","2","-5"
"108.jpg","heico__0029_Heico_Sigma_10_avi__70050.jpg","OOD","0029 - Heico - Sigma - 10.avi","4","0","0","-4"
